Isim,KullaniciAdi,YorumSayisi,RetweetSayisi,BegeniSayisi,Tweet
oski,@osmanyamanoski,,,,"Daha asgari ücret zammı gelmeden market ürünler,ulaşım, her şeye zam geldi, bir iki aylık da olsa üç kuruş para cebimizde kalır da şımarırız diye aceleyle her şeye zam yapan, paranın bizi şımartmasına asla izin vermeyen herkesten Allah razı olsun 
#asgariucret
#Zam"
borsakurdu,@borsakurdu55,1,,,"o zaman seçimden önce artist artist konuşmayacan. atıp kesmeyecen. biz de biliyoruz zamların normal olduğunu ama seçimden önce suyu bidiva yapicem, ulasim ucuzliycik, israf biticik, istanbul nimet nimet demiycen.

asgari ücret alanların Allah yardımcısı olsun"
BURHAN YILMAZ,@Burhannyilmaz,,,,"Neden asgari ücret geçen senelerde olduğu gibi tek rakam değil ağır, orta ve hafif olarak belirlediğiniz rakamlar kim ve hangi kolları kapsıyor acaba detay veririmisiniz net olarak 2334 olan maaş 2792 mi 2507 mi olacak bu biraz Ali Cengiz işi gibi hissediyorum bilgi lütfen."
sencel,@sen_cel,,,,"siz kimsiniz ki, işçiler adına yorum yapıyorsunuz. herkes sizin gibi yalakalık ile makam mevkii sahibi olmuyor. hala alnının teri ile çalışıp asgari ücret ile çalışan dürüst şerefli insanları aşağılamak ne haddinize."
10.Köyün Muhtarı,@abo_eyt,,1,2,"#Asgariücret ;
Termal gıda maddelere (Yağ,Un,Peynir,zeytin,Fasülye,Nohut,tuvalet kağıdı,detarjan,meyve ve sebzeye)yapılan ZAM  kadar yapılırsa 3850 TL

Elektriğe, doğalgaza yaptınız zam kadar zam yaparsanız: 6000 ₺ olur"
Atakan YILMAZ,@atakn_ylmz,,,1,"Arabalarınızın siyah camlarınından göremediğiniz bu yoksulluk,
bu halkın gerçeklerinden uzak siyaset sizin sonunuz olacak.
Açlık kader değil, sizin yarattığınız ahlaksızlıkların sonucudur.
Asgari ücret talebimiz en az  3100 liradır. @herkesicinCHP @iyiparti @Akparti"
KararHaber,@KararHaber,,1,4,"DİSK Genel Başkanı Arzu Çerkezoğlu asgari ücret taleplerinin 3 bin 800 lira olduğunu yineledi

https://karar.com/disk-asgari-ucret-teklifini-yineledi-1598444…"
orhandd,@dogan_orhandd,,,,aynı fikirdeyim.asgari ücret yükünün tamamını işverene yıkmadan devlet destek olursa insanlar biraz rahatlar.
Remzi Yol,@REveHA,,,,"Seçim öncesi ""Hz Ömer adaleti"" diyenlere hatırlatma, Hz Ömer asgari ücret alıyordu.
Devlet başkanı da, vekil de asgari ücret alsın"
CHP Mamak Gençlik,@chpmamakgencli1,,,,"Arabalarınızın siyah camlarınından göremediğiniz bu yoksulluk,
bu halkın gerçeklerinden uzak siyaset sizin sonunuz olacak.
Açlık kader değil, sizin yarattığınız ahlaksızlıkların sonucudur.
Asgari ücret talebimiz en az  3100 liradır. @herkesicinCHP @iyiparti @Akparti"
gülhan,@glhan71143140,1,,,Çok İyi yapmış benzine gelen zamdan haberin yok herhalde insalah dolmuş ile seyahat ediyor asgari ücret alıyorsundur
irem,@managementama,,,2,"Öğrencilere eğitim yok. Askerdeyken milletvekili maaşı devam. Asgari ücret açlık sınırının altında. Devlet daireleri önünde kuyruklar. Bankaların en zengin olduğu dönem. Bazılarımız evine götürecek yemek bulamadığı için intihar ettiği...

 #ÜlkemizinGerçekleri"
sencel,@sen_cel,2,,,sn aydın bu tweet size değil. asgari ücret ile çalışıp yaşamaya mecbur olanlar adına gerzekçe cevap vermeyi kendine hak sayan altta ki yorumlara. belli ki tuzu kuru akp liler gibi tuzu kuru chp liler de insanlığı unutmuş. işçi kesimini aşağılamayı kendilerine hak saymışlar.
Murat KAYA,@SaidXoce,,,1,#asgariücret belirleme komisyonu
Abdulhamit ÖZTÜRK,@AHamitOzturk29,1,,1,"Şu an verilen asgari ücret kadar olan tutarı işveren karşılayacak, geri kalan miktarı ise devlet baba olarak biz vereceğiz. 10 bin lira asgari ücretin yalnızca 
2 bin 324 lirası işverenin cebinden çıkacak. 
Geriye kalan 7 bin 676 lirasını ise devlet baba verecek ”dedi."
BOLD,@BOLDmedya,,,2,CHP’den kanun teklifi: Asgari ücret 3 bin 100 liraya çıkarılsın
Hakankarakurt,@Hakanka10995001,1,1,4,"Bugün asgari ücret açlık sınırının dahi altında,4 farklı şehirde yaşayan asgari ücretli 8 çalışan ile konuştuk.Onlar da”GEÇİNEMEMENİN”ne anlama geldigini anlattı;’Misafir bizleri rencide etmemek için evimize gelmiyor.’"
BOLD,@BOLDmedya,,,2,CHP’den kanun teklifi: Asgari ücret 3 bin 100 liraya çıkarılsın
Hakankarakurt,@Hakanka10995001,1,1,4,"Bugün asgari ücret açlık sınırının dahi altında,4 farklı şehirde yaşayan asgari ücretli 8 çalışan ile konuştuk.Onlar da”GEÇİNEMEMENİN”ne anlama geldigini anlattı;’Misafir bizleri rencide etmemek için evimize gelmiyor.’"
adamanset,@sakaryahalksesi,,,,"Grup Başkanvekili ÖZKOÇ “Ocak 2021 itibariyle asgari ücret, net 3.100 TL olmalıdır…”"
samet,@milisyarbay,,,6,imkansız olması bir yana saçma bir talep. 3 bin 800 lirayı karşılamak için sattığı mal veya hizmete zam yapacak işveren. oradan da kurtaramazsa personel azaltacak. sonuç: ya işsizlik patlaması ya da asgari ücret zammı oranında fiyat artışı. değişen bir şey yok.
RC News Share,@BilgiSirket,,,10,"Umarız örnek olur..
İmzalanan sözleşmeyle Kütahya Belediyesi'nde en düşük asgari ücret 3 bin 200 TL oldu."
mahmutornek1,@mahmutornek11,,,,"#asgariuecret #BizOnaReisDedik
Biz ona reis dedik ama asgari ücrete verdiği zama bakın nasıl vicdanınız rahat edecek . Bir Erbakan hocam gibi olamazsınız zaten de bari onun çeyreği olsaydınız ..."
Deniz Kılıç,@thetonight10,,,3,"aihm'e siyasi diyor, anayasa mahkemesi ufak bir tepki verdiğinde siyasi diyor, muhalefet partileri milletin derdini konuştuğunda siyasi diyor, sanatçı konuşuyor siyasi diyor, asgari ücret işçisi konuşuyor siyasi diyor vs.. bu kadar rezil ve kepaze bir dönemi hatırlamıyorum."
BOZKURT1907,@1907_M_H_OGUZ,,,1,"Daha asgari ücret zammı belli olmadan vereceklerinin mislisini yapılan zamlarla geri aldılar..
Sandıkta hesap var..."
Muhammet Keleş,@muhammetklss,,,,"Asgarî ücret bunun altında veremezsin diye sınırdır,,,üstüne çıkıp işçiye fazla  vermekte sınır yok cahiliye cühellâ...
        Burdan siyâset üretmeye çalışan KALPAZAN ucube...."
#EYT ve #Staj Mağduru Turabi ,@EYTurabi,,,,Yemin ederim asgari ücret alan adamlar daha çok oy veriyor. Ben hükümetin yerinde olsam hiç zam yapmam asgari ücrete. Ne de olsa açlığa  alıştılar
marka,@beneeena,,,,Npardın mesela asgari ücret hakkında?
Serkan,@srkn82,,,,Asgari ücretli 10milyon kişi var. Tam 10 milyon! Bu 10 milyon kişi iktidarı değiştirir. Asgari ücret 3000tl olsun diye bağırmaya gerek yok. Seçim zamanı adres belli @herkesicinCHP ayrıca chp li belediyelerde 2021 asgari ücret 3100TL oldu.
Nafi Faik Tamgacı,@Tamgac6,,,,Amaç kimsenin asgari ücret ile çalışmak sorunda olmaması...
Hakan Can,@hkncann,,,,"DİB belirlediği fitre 27 lira. 4 kişilik bir ailenin aylık asgari gıda tutarı 3240 lira. TÜİK asgari ücreti 2700 lira öneriyor. Kendileri için hesap kitapsız %30-40 zam yaparlar, garibana gelince üç kuruşun pazarlığını yapıyorlar. 
#asgariücret"
Recep Kenan,@RecepKenan,,,,"Gamze Akkuş İlgezdi ‘TÜİK Kendi Bu Maaşla Yaşasın!’ 
https://itvhaber.com/gamze-akkus-ilgezdi-tuik-kendi-bu-maasla-yasasin.html#.X-NQ_vAN-cg.twitter…
#GamzeAkkuşİlgezdi #TÜİKKendiBuMaaşlaYaşasın #TÜİK #AsgariÜcretÖnerisi #TÜİKinAsgariÜcretÖnersi #SefaletDayatması #itvhaber #AsgariÜcret"
Furkan Buğra,@heyseys,,,7,Oha doktor maaşları 1950tlye mi düşmüş. Asgari ücret bile değil
Militan_Kedi,@militan_kedi,1,,,Bitti mi hayır bitmedi. Zaten alışveriş de bitmiyor al al bitmiyor. Asgari ücret ile geçinip evlenen halkımı tebrik ediyorum. Bu zamanda evet evet özellikle şu zamanda herşey inanılmaz akıl almaz pahalı şu dönemde evlilik delilik.
HALLEDERİZ ERGİN,@erginalpkz,,14,16,"Geçen yıl dolar yılı 5.96 ile kapattı
Şu an kaç lira 7.62 desek
Aradaki fark %28 
Yani geçen senenin alım gücüne ulaşmak için bile şuan Asgari ücret 2975 lira olmalı
İşte bilim bu işlere yarıyor çok şükür demekle bu rakam ortaya çıkmaz
@ZehraZumrutS
Hesap ortada"
Ömer TANIR,@merTANIR4,,,2,"Ramazan ayında Diyanet in belirlediği kişi başına düşen fitreyi 4 ile çarp yine TÜİK in verdiği asgari ücret teklifinden iyi.
en azından böyle düşünün ve 

Oyun oynamayın..
yazıktır günahtır."
vez1rr,@vez1rr,,,,DİSK 3 bin 800 liralık asgari ücret talebini yineledi.
orhandd,@dogan_orhandd,,,,asgari ücret ne kadar olursa seni mutlu eder?veya senin için uygun bir rakam olur.kafandaki rakam her ne ise o rakamla geçinme formülünü de yazabilirsen iyi olur.bir fikrin olsun diye yazayım.2 kişi yaşadığımız eve gelen sadece elektrik faturası 190 lira.buyur yap hesabı.
Gelecek Partisi Medya,@TRGelecekMedya,1,,1,"Serkan Özcan: Türkiye'de açlık sınırı 2 bin 500 lira artık, yoksulluk sınırı değil. 2 bin 500 lira açlık sınırı olan ülkede 2 bin 300 lira asgari ücret veriyor, net. Sonra da Türkiye'de yoksulluk sorununu çözdüm diyor."
isyanedesimvar,@UslusoyFethiye,,,,"Çok gezipte, hiçbişey bilmeyen, niceleri var üst kademelerde .
Insanları kuru ekmeğe mahkûm etmek.
Açlık sınırı altında asgarî ücret vermek.
Çok gezmeyi gerektirmez.
Bakıp göreceksin 
Adı bakan fakat görmeyen."
isyanedesimvar,@UslusoyFethiye,,,,"Çok gezipte, hiçbişey bilmeyen, niceleri var üst kademelerde .
Insanları kuru ekmeğe mahkûm etmek.
Açlık sınırı altında asgarî ücret vermek.
Çok gezmeyi gerektirmez.
Bakıp göreceksin 
Adı bakan fakat görmeyen."
Wellington Viyadükü 4. Charles,@Nanikatak1,1,,2,Asgari ücret 1800 liraya insin. O inince fiyatlar da iner enflasyon da azalır Devletimiz bekasına kavuşur.
Hülya ÜNVER,@hulya_unver,,2,15,"Gönül isterdi ki bu kış kıyamette bizim hastalarımız da sıcacık, kaloriferli, yalıtımlı, asansörlü, güvenlikli evlerde otursunlar
Asgari ücret ve altında gelirleriyle bir de ekonomik yoksunluk çekmesinler
Hiç olmazsa tedavileri süresince bu tencere nasıl kaynayacak düşünmesinler"
HASAN,@HASOsyalmedya,9,,65,ons değil asgari ücret 
Son Osmanlı MebuSaint Meclisi,@dominic_saric,2,,1,Aktroller komedi Tüik verisiyle iş yapıyorlar asgari ücret de 2800 yetermiş yağın 90 lira olduğu ülkede :D mamasını kes yarın akpye söver bu...evlatları
ANTEP SES,@gaziantep_ses,,,,"“ insanca yaşanacak asgari ücret"" için #DİSK Gaziantep Bölge Temsilciliğinin düzenlediği basın açıklamasına katıldık...."
Bildirim Açık,@bildirimacik,,,,"TÜİK istiyor biz ne yapalım!
Hükümet, Türkiye İstatistik Kurumu (TÜİK) üzerinden #asgari #ücret için 2 bin 792 lira teklifinde bulundu. Muhalefet ise asgari ücretin 3 bin liranın üzerinde olmasını istiyordu. Hükümet teklifine sendikaların ne diyeceği merak ediliyor.
#sendika"
MAVİ,@bestmadam,,,1,"Tüik Başkanına 2792tl verin ,1ay boyunca geçinsin. 
Ondan sonra asgari ücret savunucularının en önünde olmazsa bende birşey bilmiyorum
#AsgariUEcretVergisiz3100"
İbrahim KİLİK,@ikilik33,,,,"# Asgari ücret
Adı üstünde asgari ücret
Artırılmasını istiyorsun ne cür'et...
İbrahim Kilik"
Sağlık Görevlileri,@GorevlileriK,,,,"TÜİK'in önerdiği 2 bin 792 TL #asgariücret sizce yeterli mi?
Size göre Asgari Ücret ne kadar olmalı?"
GÜNgelirKAVGAbiter,@SariPasa_GUN,,,,"Arkadaş sadece 
İş arıyor 
DİLENMİYOR !!
#ÜlkemizinGerçekleri
#asgariücret"
HÜSEYİN EFE,@huseyinefe9,1,,4,"Kütahya Belediyesi'nde toplamda 1200 işçiyi ilgilendiren toplu iş sözleşmesi törenle imzalandı ve en düşük asgari ücret 3 bin 200 TL oldu. Belediye Başkanı Alim Işık, Türkiye’ye örnek olacak bir anlaşmaya imza atmanın sevincini yaşadıklarını dile getirdi.
Haber: Hüseyin Efe-İHA"
GÜNgelirKAVGAbiter,@SariPasa_GUN,,,,"Kendi vatandaşına gelince,
Cepte AKREP var .

#ÜlkemizinGerçekleri
#Asgariücret
#Günaydın
#Çarşamba"
Vezra Khan,@VezraKhan,1,,1,"Ekonometri den bir şey anlamadan konuşmak hoş tabi
Bende isterim ki asgari ücret artsın ve deflasyon olsun"
cemal yılmaz,@cyilmazmor,,3,4,"Asgari ücret 3100 lira olsun diyorlar, evet olsun, önce siz belediyelerinizde öncülük yapın, bakın biz yaptık deyin ki inandırıcı olsun, hazırkini veremiyorsunuz birde tutmuş ahkam kesiyorsunuz, herhalde çalışanlarınız anlıyordur da diğerleri de doğru söylediğinizi zannediyor"
Levent,@kosenlevent,,,,Asgari ücret değil alım gücü artmalı.
SADECE ALLAHIN KULUYUM,@SKuluyum,,,2,"Asgari Ücrete, Asgari Vicdan. 2.792 TL 
Vicdansızlar..

#asgariücret"
Haber Internatioanal,@haberinternati1,,,,"Erdoğan'dan flaş asgari ücret açıklaması!

#asgariucret
https://haberinternational.com/erdogan-dan-flas-asgari-ucret-aciklamasi/15474/…"
Zalim sultan,@Zalimsultan7,,,1,TUİK asgari ücret belirlemiş. Bu kurumu yöneten şapşallar önce siz o maaşla yaşayın sonra bu para yeter deyin. Yalamaktan diliniz konuşamaz olmuş
Asya,@lovelygirlasya,3,,11,"Bu asgari ücret aslında çok tehlikeli bir şey. Şimdi işverenler bunun acısını çıkarmak için ya sattıkları ürünü,hizmeti daha pahalıya satacaklar. Ya da bu maaşı vermek istemedikleri için çalışanlarını işten çıkaracaklar ve işsizlik artacak."
yavuz,@krasnaya1976,,,,Asgari ücret 2500 tl ve içindeki tüm vergiler ayrıca elektirik doğal gaz ve su faturalarındaki tüm fahiş vergiler kaldırılsın
seren dündar,@serennn_d,,,,"#asgariücret zammında milletin hakkını verin yeter

Elektriğe yaptığınız zam gibi zam yapın
Doğalgaza yaptığınız zam gibi zam yapın
Kendi maaşlarınıza  yaptığınız zam gibi zam yapın

Bunlar umut işte maalesef  biliyoruz ki 2700₺ Geçmeyecek"
Mis,@Masmavimis,1,,2,Asgari ücret zammı gelmeden eridi
HÜSEYİNHFSHHMB,@huseyin063063,,,,"Sayın Cumhurbaşkanım Asgari ücret Diyanetin belirlediği Fitre nin cok altında sizce bu doğrumudur 
Bizler Devletimize sonsuz güvenimiz tamdır"
Asya,@lovelygirlasya,3,,11,"Bu asgari ücret aslında çok tehlikeli bir şey. Şimdi işverenler bunun acısını çıkarmak için ya sattıkları ürünü,hizmeti daha pahalıya satacaklar. Ya da bu maaşı vermek istemedikleri için çalışanlarını işten çıkaracaklar ve işsizlik artacak."
yavuz,@krasnaya1976,,,,Asgari ücret 2500 tl ve içindeki tüm vergiler ayrıca elektirik doğal gaz ve su faturalarındaki tüm fahiş vergiler kaldırılsın
seren dündar,@serennn_d,,,,"#asgariücret zammında milletin hakkını verin yeter

Elektriğe yaptığınız zam gibi zam yapın
Doğalgaza yaptığınız zam gibi zam yapın
Kendi maaşlarınıza  yaptığınız zam gibi zam yapın

Bunlar umut işte maalesef  biliyoruz ki 2700₺ Geçmeyecek"
Mis,@Masmavimis,1,,2,Asgari ücret zammı gelmeden eridi
HÜSEYİNHFSHHMB,@huseyin063063,,,,"Sayın Cumhurbaşkanım Asgari ücret Diyanetin belirlediği Fitre nin cok altında sizce bu doğrumudur 
Bizler Devletimize sonsuz güvenimiz tamdır"
Derya Akbulut,@DeryamSultan,,,2,"Milletvekillerinin, imamların maaşları asgarî ücret olsun. Kesinlikle biz imam, milletvekili olmayız derler.."
kendine gariban,@kendinegaribann,,,2,"Merhaba,bir fotoğraf yarışmasına katıldım.Bu linkteki fotoğrafı beğenerek destek olabilir misiniz https://instagram.com/p/CJA7d3dMX2R/?igshid=lnvr4dsnq1cx…

Gt rt fav takip #HepBirlikteArtıkYeterDiyoruz #cıplak #yağmur #MilletBıktı #BirCiftSoezuemVar #asgariuecret #Azerbaycan #COVID20 #MadameCoco #SARSCoV2"
Veryansıntv.com,@veryansintvcom,,,6,"DİSK'ten yeni asgari ücret açıklaması 
https://veryansintv.com/diskten-yeni-asgari-ucret-aciklamasi…
#asgariücret"
Basaakk,@Basaakk3,,,,Sürekli asgari ücret konuşuluyor.  12 yıllık diş hekimiyim maaşım 3600 lira ......
SeS ,@serdar_saricam,,,,#asgariücret
Ersen Korkmaz,@demokratiskndrn,,,1,"ASGARİ ÜCRET 3800₺ OLMALI
DİSK Gn. Bşk. Arzu Çerkezoğlu, bugün Tophane’deki Çalışma Müdürlüğü önünde yaptığı açıklamada “ Asgari ücret vergi dışı 3800₺ olmalıdır.” dedi."
𝕾𝖊𝖗𝖐𝖆𝖓,@SnSrknunl,,,,Bonlardan hiç bir bok olmaz hepsi danışıklı dövüş.. benim asgari ücret te hiç umudum yok
Nafi Faik Tamgacı,@Tamgac6,1,,1,"Ama burada esas sorun kimsenin asgari ücret ile çalışmıyor olması.
Sanki asgari ücret normallestiriliyor.
Oysa asgari ücret adı üzerinde verilebilecek en düşük ücrettir.
Velhasıl asgari ücret normal değil istisnai olmalı zaten.."
Taner Gürler,@TanerGrler1,,,1,"3800 asgari ücret olsa ne olur 250.000 Tl kadar değerimiz yok adam bu kadar paraya bir maaş faiz alıyor 
DİSK: Asgari ücret insan onuruna yaraşır bir düzeye yükseltilmeli https://sozcu.com.tr/2020/ekonomi/disk-asgari-ucret-insan-onuruna-yarasir-bir-duzeye-yukseltilmeli-6179835/… #gazetesozcu via @gazetesozcu"
Bilal ÖZDEMİR,@ozdmrbll,,,,"asgari ücrete %100 zam yapın %25 zam minübüslerin olsun 
ama asgari ücrete %5-10 zam ile diğer tüm giderlere min %15 zam yapılırsa asgari ücret dememek gerek. 
süründüren ücret denilmeli"
SONDAKİKA,@sondakika_32,,,,Cumhurbaşkanı Erdoğan'dan 'asgari ücret' açıklaması
nur tok,@toknur,,,,Asgari ücret 5000 olunca ne olacak iş yerleri bir bir kapanacak. Söylediğiniz şeyi genele yaymaktan vazgeçin artık. Adamın küçük bir dükkanı var çok az da cirosu işçiye 5000 verince kendi ne kazanacak. Zaten katlar düşmüş neredeyse sıfıra.
Haber61.net,@haber_61,,,2,Cumhurbaşkanı Erdoğan'dan Asgari ücret sorusuna tek cümlelik yanıt
Ali Araz,@AliAraz26738281,,,,Son dakika haberi: Asgari ücret zammı hakkında kritik gelişme! Bu sene AGİ ücreti ne kadar olacak? O teklif...
Einstein,@Einstein2020,,,1,"Esnaf kepenek kapatıyor .
millet açlıktan kendine asiyor.
 insanlar çöplerden yiyecek topluyor .
Asgari ücret alan insanlar açlık siniri altinda vergilerle savaşıyor.

Devletin ve milletin gelecegini borclandirdigi yetmemis Gini ,
Simsrik mirasyedi gibi savuruyor."
SİMYACI...,@MenekseEvi,,,,"Asgari ücretin 5 bin veya 15 bin olmasi hic bir seyi degisdirmez, yumurta bugun 30 tl ise o zaman 300 tl olur... Asgari ücret artimi değil asgari ucretin alim gücü arttirilmali @TCSanayi bakanligi ile @TCTarim bakanligi yan gelip yatarken zincir marketler halki sömürüyor..."
yelmenersin,@yelmenersin1,,,,Sütün fiyatını Ekrem İmamoğlu na sorup yazdın dimi sen saç ektir asgari ücret 10 TL olsa deyip seçim istemek ya nasıl bir kafaya sahipsin
Evren DEMİRDAŞ,@evrendemirdas35,,,,Bugün asgari ücret açlık sınırının dahi altında. 4 farklı şehirde yaşayan asgari ücretli 8 çalışan ile konuştuk. Onlar da 'geçinememenin' ne anlama geldiğini anlattı: 'Misafir bizleri rencide etmemek için evimize gelmiyor.'
Veysel Tiryaki,@VeyselTiryaki14,,,1,"Sayın Vekillerim ve Sayın Asgarî Ücret belirleme komisyonunda bulunan büyüklerim, Lütfen karar alırken verileri sokaktan halkın içinden alınız
#Meclis_Lokantasına göre olursa hata yaparsınız."
Orhan,@thekement,,,8,Asgari ücret 500 dolar olsun
Çagdaş atana soru sormayan basın,@CgdsAtan,,,1,Lan doktora asgari ücret olcak az daha ıkınırsak
ERCAN ESER,@ERCANES12514319,,,1,Emekliye ve asgari ücret zammı belli olmadan zamlar geliyor zam zam zam alıştık artık.
Bülent ŞİMŞEK,@BulenttSimsek,,1,2,"TÜİK Asgari ücret önerisi 2.792 TL bu öneriyi yapan TÜİK Çalışanlarının maaşlarını önerdikleri Asgari ücretle sınırlandırılmasını önerelim bizlerde bakalım nasıl oluyormuş, Asgari Ücretle yaşamak öğrenmiş oluruz.
 #asgariücret"
T.C.Yasmin 1923,@yaso_casper,,,1,#asgariücret
Koray,@Koray00329882,,,1,Bölgesel asgari ücret neden hala gündeme gelmiyor? Metropolitan alanların asgari yaşam koşullarıyla daha kırsal bölgelerdeki ihtiyaçlar farklılık gösteriyor. Bu konu uzmanlarca değerlendirilmeli.
ekstazisu-diğer hesaba giremiyorum,@fvcku1313,,,1,"paranız yoksa sugardaddy olmaya çalışmayın aq, o da eksik kalsın. aylık asgari ücret kadar bile para vermeyecek adamlar sugar daddy diyor, yaw he he."
